artist,genre,songs,artistimage
9,2,Here Comes the Sun,thebeatles.jpg
9,2,Twist and Shout,thebeatles.jpg
10,2,"Sugar, We're Goin Down",falloutboy.jpg
10,2,"Dance, Dance",falloutboy.jpg
10,2,Thnks fr th Mmrs,falloutboy.jpg
10,2,Centuries,falloutboy.jpg
10,2,My Songs Know What You Did in the Dark ,falloutboy.jpg
10,2,Uma Thurman,falloutboy.jpg
10,2,I Don't Care,falloutboy.jpg
11,3,Misery Business,paramore.jpg
11,3,Still Into You,paramore.jpg
11,3,Ain't It Fun,paramore.jpg
11,3,The Only Exception,paramore.jpg
11,3,That's What You Get,paramore.jpg
11,3,Decode,paramore.jpg
11,3,Hard Times,paramore.jpg
12,3,Welcome to the Black Parade,mychemicalromance.jpg
12,3,Helena,mychemicalromance.jpg
12,3,I'm Not Okay (I Promise),mychemicalromance.jpg
12,3,Teenagers,mychemicalromance.jpg
12,3,Famous Last Words,mychemicalromance.jpg
12,3,Cancer,mychemicalromance.jpg
12,3,Mama,mychemicalromance.jpg
13,3,"Dear Maria, Count Me In",alltimelow.jpg
13,3,Weightless,alltimelow.jpg
13,3,Something's Gotta Give,alltimelow.jpg
13,3,Kids in the Dark,alltimelow.jpg
13,3,Monsters,alltimelow.jpg
13,3,Remembering Sunday,alltimelow.jpg
13,3,Dirty Laundry,alltimelow.jpg
14,3,In the End,linkinpark.jpg
14,3,Numb,linkinpark.jpg
14,3,Crawling,linkinpark.jpg
14,3,Somewhere I Belong,linkinpark.jpg
14,3,Faint,linkinpark.jpg
14,3,Breaking the Habit,linkinpark.jpg
14,3,What I've Done,linkinpark.jpg
15,3,Ocean Avenue,yellowcard.jpg
15,3,Only One,yellowcard.jpg
15,3,Lights and Sounds,yellowcard.jpg
15,3,Way Away,yellowcard.jpg
15,3,Hang You Up,yellowcard.jpg
15,3,Here I Am Alive,yellowcard.jpg
15,3,Believe,yellowcard.jpg
16,4,Good Day,iu.jpg
16,4,Palette,iu.jpg
16,4,Love Poem,iu.jpg
16,4,BBIBBI,iu.jpg
16,4,Twenty-Three,iu.jpg
16,4,Blueming,iu.jpg
16,4,Through the Night,iu.jpg
17,4,Love Shot,exo.jpg
17,4,Ko Ko Bop,exo.jpg
17,4,Monster,exo.jpg
17,4,Growl,exo.jpg
17,4,Tempo,exo.jpg
17,4,Call Me Baby,exo.jpg
17,4,Obsession,exo.jpg
18,4,Lullaby,got7.jpg
18,4,Just Right,got7.jpg
18,4,Hard Carry,got7.jpg
18,4,You Are,got7.jpg
18,4,Fly,got7.jpg
18,4,Eclipse,got7.jpg
18,4,If You Do,got7.jpg
19,4,Dynamite,bts.jpg
19,4,Butter,bts.jpg
19,4,Boy With Luv ,bts.jpg
19,4,DNA,bts.jpg
19,4,Fake Love,bts.jpg
19,4,MIC Drop,bts.jpg
19,4,Blood Sweat & Tears,bts.jpg
20,4,Drunk-Dazed,enhypen.jpg
20,4,Given-Taken,enhypen.jpg
20,4,Fever,enhypen.jpg
20,4,Border: Carnival,enhypen.jpg
20,4,Let Me In,enhypen.jpg
20,4,Flicker,enhypen.jpg
20,4,Not For Sale,enhypen.jpg
21,5,Paranoid,blacksabbath.jpg
21,5,Iron Man,blacksabbath.jpg
21,5,War Pigs,blacksabbath.jpg
21,5,Sabbath Bloody Sabbath,blacksabbath.jpg
21,5,N.I.B.,blacksabbath.jpg
21,5,Sweet Leaf,blacksabbath.jpg
21,5,Children of the Grave,blacksabbath.jpg
22,5,Symphony of Destruction,megadeth.jpg
22,5,Holy Wars,megadeth.jpg
22,5,Tornado of Souls,megadeth.jpg
22,5,Hangar 18,megadeth.jpg
22,5,Peace Sells,megadeth.jpg
22,5,A Tout le Monde,megadeth.jpg
22,5,Sweating Bullets,megadeth.jpg
23,5,Breaking the Law,judaspriest.jpg
23,5,Painkiller,judaspriest.jpg
23,5,You've Got Another Thing Comin',judaspriest.jpg
23,5,Living After Midnight,judaspriest.jpg
23,5,Electric Eye,judaspriest.jpg
23,5,Hell Bent for Leather,judaspriest.jpg
23,5,Metal Gods,judaspriest.jpg
24,5,Enter Sandman,metallica.jpg
24,5,Nothing Else Matters,metallica.jpg
24,5,Master of Puppets,metallica.jpg
24,5,One,metallica.jpg
24,5,The Unforgiven,metallica.jpg
24,5,Fade to Black,metallica.jpg
24,5,Seek & Destroy,metallica.jpg
25,5,Pull Me Under,dreamtheater.jpg
25,5,Metropolis Pt. 1: The Miracle and the Sleeper,dreamtheater.jpg
25,5,The Spirit Carries On,dreamtheater.jpg
25,5,Octavarium,dreamtheater.jpg
25,5,Panic Attack,dreamtheater.jpg
25,5,Home,dreamtheater.jpg
25,5,As I Am,dreamtheater.jpg
